pid,abstract_no,coauthors,abstract
283,ORS1-0200,"Seinosuke Katahira (Institute of Science Tokyo), Takashi Ishizone (Institute of Science Tokyo)","Cyclopropane compounds are three-membered ring hydrocarbons with significant ring strain energy arising from their highly distorted bond angles. When cyclopropane derivatives are employed as cyclic monomers, ring-opening polymerization can proceed via cleavage of carbon–carbon bonds. However, compared with epoxides and aziridines, which undergo facile anionic ring-opening polymerization through cleavage of carbon–oxygen or carbon–nitrogen bonds, only a limited number of examples have been reported for cyclopropane-based systems. The main difficulty lies in the high bond dissociation energy of carbon–carbon bonds and the insufficient stabilization of the resulting propagating carbanions. As a result, applicable monomers are largely restricted to those bearing electron-withdrawing groups at suitable positions. In this study, we designed novel cyclopropane monomers incorporating an oxindole framework with a spiro-cyclic structure. The acidic amide hydrogen of oxindole ring was substituted with methyl or hexyl group. The phenyl and amide groups in the oxindole ring are expected to stabilize the propagating carbanion, thereby facilitating anionic ring-opening polymerization. The polymerization successfully proceeded to afford the desired polymers with controlled molecular weights and narrow molecular weight distributions. These results demonstrate that rational monomer design can expand the scope of anionic ring-opening polymerization of cyclopropane derivatives."
746,INS1-0658,,"Organoboranes have recently advanced ring-opening (co)polymerization (ROP) with high controllability, offering diverse polymer structures. Following the pioneering use of BEt 3 in ROP, the categories of organoborane have updated to functional borane-based catalysts, borinane, multi-boranes integrated in small organic scaffold or macromolecular framework, which circumvent some limitations of BEt 3 , such as dilution effect, limited activity and sensitivity to moisture and oxygen. In this study, we tried to incorporate multi-borane Lewis acids. Using tri-, tetra-, and octa-vinyl functional siloxane as core, we prepared tri- tetra- and octa-borane Lewis acids. This design offers high local density and closely positioned active sites targeting high activity for ROP of epoxide. Various initiators combined these multi-borane catalysts and chain transfer agents (CTAs) were investigated to endow diverse structures and molecular weights of polyethers. Density functional theory (DFT) calculations were applied to understanding the mechanism. Given the multi-borane core, a so-called “intramolecular” propagation mode was adopted, and a “self-concentrating synergistic effects” model was proposed to explain the structure–activity relationships. This work provides new designing strategy in creating remarkably active and thermally robust borane catalyst for the ROP of epoxides."
415,KES1-0331,,"Among high-performance polymers with high thermal and mechanical properties, polyimides (PI) exhibit a high glass transition temperature and low thermal expansion behavior. However, the highly aromatic and rigid nature of polyimide chains tends to form charge-transfer (CT) complexes, resulting in a yellowish-to-brown color. Removing this color to make PIs transparent without deteriorating their thermal properties remains very challenging. To overcome color and transparency issues in polyimides, various structural modifications have been explored, including incorporating flexible or unsymmetric linkages into the main chain and introducing noncoplanar or alicyclic units. However, many structural modifications in aromatic polyimides exhibit a trade-off between transparency and thermal properties. Poly(amide-imide)s (PAIs), a class of copolyimides, exhibit high thermal stability, good mechanical properties, and good processability. Hydrogen bonds between PAI chains enhance both thermal properties and processability without compromising the thermal characteristics of polyimides. PAIs offer advantages for structural modification through more versatile synthetic pathways. Leveraging these characteristics to achieve high transparency and low coefficient of thermal expansion (CTE), we synthesized aromatic poly(amide-imide)s with a biphenylene backbone bearing sterically bulky trifluoromethyl groups that could form a complex hydrogen-bonding network in two distinct directions. This approach yielded polymers with approximately 90% transparency and CTE values as low as 4 ppm/°C. We found that by controlling the fraction of asymmetrically positioned trifluoromethyl groups in the polymer backbone, the CTE could be precisely adjusted in the range of 4-20 ppm/°C without sacrificing high transparency. The glass transition temperature of aromatic poly(amide-imide)s was further improved to over 400 °C by introducing a multicyclic structure."
109,ORS1-0033,Makoto Ouchi (Kyoto University),"Organoboron Compounds are recognized as the valuable synthetic intermediate due to its versatile transformability in organic reaction. In this presentation, we describe the impact of boron chemistry on polymer synthesis leading to access to conventionally inaccessible polymers [1,2]. Vinylboron compounds, of which boron is directly attached to the vinyl moiety, exhibit radical polymerization ability and post-polymerization transformation affords various novel polymers. For example, post-polymerization hydroxylation of boron pendants gives poly(vinyl alcohol)s. The design of boron protecting group allows us to alter the polymerization behaviors, enabling access to  poly(vinyl alcohol) (PVA) derivatives. The radical homopolymerization of vinylboronic acid pinacol ester yields the branched polymer due to the frequent back-biting, and post-hydroxylation affords the branched PVAs [3]. When pinacol group of vinylboron is replaced with anthranilamide with n-alkyl substituent on amide moiety, back-biting is suppressed, affording linear PVAs. Furthermore, introduction of bulky substituent (e.g., 2-methylbutyl group) on amide results in the isotactic polymerization due to the helix induction during polymerization by the steric effect of pendants [4]. When tetrahydrofuran (THF) is used as the substituent on amide, non-classical hydrogen bond between vinyl and oxygen in THF worked to suppress the helix induction, resulting in syndiotactic regulation [5]. Thus, designability and transformability of boron pendants are useful to access the series of PVAs have various primary structures. [1] Nishikawa, T.* Polym. J. , 2024 , 56 , 873–886. [2] Suzuki, H.; Nishikawa, T.* ; Ouchi, M.* Macromolecules , 2026 , 59 , 5097–5109. [3] Kanazawa, T.; Nishikawa, T.* ; Ouchi, M.* Macromolecules , 2024 , 57 , 6750–6758. [4] Suzuki, H.; Nishikawa, T.* ; Ouchi, M.* J. Am. Chem. Soc. , 2025 , 147 , 12672–12685. [5] Suzuki, H.; Nishikawa, T.* ; Ouchi, M.* Nat. Commun. , 2026 , accepted."
257,ORS1-0175,,"Boron functionalities in polymer chemistry are currently often explored in dynamically crosslinked materials, compatibilizers, adhesives, and other biological applications because of their selective and reversible esterification/condensation properties. Some applications have been investigated for polyolefin materials, which rely on postpolymerization functionalization to introduce boron functionalities. Our recent approach enabled the direct incorporation of boronic acid functionalities via copolymerization using a newly designed comonomer applicable to versatile metal-catalyzed polymerization systems. This strategy allowed boronic acid functionalities to be incorporated into major commodity hydrocarbon-based plastics and rubbers with control over the uniform molecular weight between functional groups. Using this synthetic platform, we have developed a variety of functional materials, including boron-crosslinked elastomers and crystalline polyolefins reinforced through boron-mediated crosslinking. Here, we present another application of boron-functionalized random polypropylene (PP) and polyethylene (PE) as a compatibilizer of PP/PE blends. The covalent network formed by these copolymers at an optimized composition significantly improved the mechanical properties of the polyolefin blend."
270,INS1-0187,,"PS- block -poly(ethylene- co -1-butene)- block -PS (SEBS) is an attractive material, traditionally produced through the costly hydrogenation of PS- block -polybutadiene- block -PS.  An innovative one-pot method for synthesizing SEBS-like triblock copolymers has been developed in our laboratory. In this method, a dialkylzinc compound containing styrene moieties ((CH 2 =CHC 6 H 4 CH 2 CH 2 CH 2 ) 2 Zn) was synthesized, which is then used to grow poly(ethylene- co -1-hexene) chains via CCTP, resulting in di-end functional PO chains that are functionalized with styrene and Zn moieties. Subsequently, PS chains are attached to both ends of these PO chains through anionic styrene polymerization, initiated by Me 3 SiCH2Li·(pmdeta) initiator. Details on the concept, implementation, and scale-up process for commercialization will be presented."
191,INS1-0110,,"Rising global CO 2 concentrations and their environmental impacts have intensified the search for sustainable carbon-utilization technologies. To convert large quantities of CO 2 into industrially valuable products, efficient catalytic protocols are required to produce CO 2 -based polymers with finely tuned compositions and high performance. This presentation highlights a novel synthetic protocol for preparing CO 2 -based polymers with diverse compositions and structures, along with their application in high-performance adhesives. Offering significant economic and environmental advantages, this Zn-gallate-catalyzed CO 2 polymerization represents a promising frontier in Carbon Capture and Utilization (CCU)."
1712,KES1-1571,,"Crosslinking is one of the most effective strategies for improving the mechanical properties of polymers. Permanent crosslinks, however, often compromise recyclability. Dynamic crosslinking based on hydrogen bonds (H-bonds) provides mechanical reinforcement while enabling network rearrangement, self-recovery, and recycling. Rigid multiple H-bonding motifs, such as DNA nucleobases, have been widely employed because they efficiently form supramolecular polymer networks. However, their strong and directional interactions often suppress the dynamic behavior required for functions such as self-recoverability. In contrast, we have explored structurally flexible multiple H-bonding motifs. This concept emerged from our studies on polybutadiene bearing aliphatic vicinal diol (VD) groups. Owing to rotational freedom around the C–C bond, VDs form multiple stable H-bonded dimer structures. We propose that frequent interconversion among these structures prolongs intermolecular association, whereas multiple accessible dimer structures facilitate reassociation after dissociation. To clarify the role of structural flexibility, we compared norbornene-based copolymers bearing either flexible vicinal dimethanol (diol) or rigid g -lactam (amide) groups. Although the two motifs possess comparable H-bonding energies, a higher diol content was required to match the Young's modulus of the amide-containing polymer. At comparable Young's moduli, the diol-containing polymer exhibited greater stress at large strains and superior self-recoverability, demonstrating that structural flexibility enhances dynamic performance independently of H-bond strength. These studies establish structural flexibility as a new molecular design parameter for robust yet dynamic polymeric materials. This presentation will highlight how flexible H-bonding motifs provide a promising strategy for designing robust, recyclable, and environmentally friendly polymeric materials."
331,INS1-0248,,"Selective reactions not only enable the precise synthesis of molecular architectures but also provide efficient access to structurally diverse compounds. Our research focuses on the synthesis of functional monomers through chemo-, regio-, and stereoselective reactions and their application in metathesis polymerization for the preparation of well-defined functional polymers and chemically recyclable polymers. Recently, we developed a selective synthetic strategy for amide-containing bridged and fused bicyclic monomers via the Schmidt reaction of azido-cycloheptenones.  Due to their different ring-strain energies, the resulting monomers exhibited divergent behaviors in ring-opening metathesis polymerization (ROMP). Highly strained bridged monomers enabled molecular-weight-controlled polymerization, whereas low-strained fused monomers afforded chemically recyclable polymers that underwent ring-closing metathesis depolymerization (RCMD) to regenerate the corresponding monomers. Furthermore, copolymerization of the amide-containing monomers with cyclooctene demonstrated that the incorporation of amide functionalities significantly enhanced the mechanical properties of the resulting polyolefins while imparting degradability and recyclability."
649,INS1-0563,,"High refractive index polymers are an emerging class of transprent materials for a wide range of applications. Increasing the refractive index of these materials, however, often leads to higher birefringence and optical dispersion. In this presentation, we describe two sulfur-based polymer design strategies that address this trade-off through controlled molecular architecture. First, sulfur-rich aliphatic thermosets were prepared from episulfide, polysulfide, and elemental sulfur components, affording transparent materials with tunable refractive index, low dispersion, and low birefringence without relying on aromatic structures. Second, a modular fluorene cardo platform bearing sulfur-containing aromatic substituents was developed for thermoplastic high-index polymers. By introducing polymerizable groups at the 2,7-positions, the cardo motif was incorporated into polyesters, poly(arylene ether)s, and poly(arylene thioether)s using multiple polymerization methods. Together, these studies demonstrate how sulfur chemistry and polymer architecture can be combined to achieve high refractive index while suppressing optical anisotropy."
823,INS1-0734,,"Defect engineering has emerged as a powerful strategy in inorganic crystalline materials, yet its systematic application to polymer crystals remains challenging due to inherent structural complexities such as chain folding and broad molecular weight distributions. Here, we introduce a model conjugated polymer system — poly(cyclopentenylene vinylene) (PCPV) bearing fluorene units with two (Di, D) or one (Mono, M) neo-hexyl side chains — that bypasses chain folding entirely, enabling precise, quantitative defect control. Five series of random pDM copolymers were synthesized with a fixed degree of polymerization (DP = 20) and systematically varied D/M ratios. Despite increasing defect content, all copolymers crystallized into well-defined 2D nanosheets. Strikingly, higher defect fractions selectively promoted crystal growth along the (100) direction, compressing the d 200 lattice spacing from 16.1 to 15.6 Å. DFT calculations revealed that defect incorporation alters the electrostatic surface potential (ESP), modulating intermolecular interactions and packing order. This work establishes a quantitative, synthesis-driven framework linking defect density to crystallization pathway selection, offering a predictive design rule for engineering highly ordered conjugated polymer assemblies."
1492,KES1-1360,,"This Perspective presents advances in the synthesis of helical polymers, with a particular focus on polyisocyanates, over the past 30 years of my research career. The growing interest in helical polyisocyanates has been driven by the development of diverse synthetic strategies and by investigations into the living characteristics of polyisocyanate through kinetic studies. Through living anionic polymerization, random, gradient, block, multiblock, and alternating polyisocyanates can be synthesized by employing monomers with different reactivities, including furfuryl, allyl, and alkyl isocyanates. Future research will focus on amphiphilic, peptide-mimicking multiblock and alternating polyisocyanates with precise sequence control, improved water solubility, and degradability, enabling applications in antifreeze, antimicrobial, and environmentally sustainable materials. Furthermore, by integrating the accumulated knowledge from the living polymerization of polypeptides, polypeptoids, and polyisocyanates, I propose an “AI × Helical Polymer Synthesis” platform that goes beyond simple automated synthesis toward the intelligent design and predictive control of polymer structures, ultimately enabling autonomous polymer synthesis in the AI era."
1054,KES1-0956,,"It is known that the anionic copolymerization of styrene (St) and 1,1-diphenylethylene (DPE) proceeded to afford an alternatingly sequenced copolymer. The non-homopolymerizable property of DPE plays a crucial role to achieve this unique copolymerization behavior. Based on this copolymerization behavior of St and DPE, we designed and synthesized a new AB-type difunctional vinyl monomer, 4-vinyl-1,1-diphenylethylene ( VD ), comprising conjugated St and DPE frameworks. A series of substituents including chloro ( ClVD ), methyl ( MeVD ), methoxy ( MeOVD ), and dimethylamino ( Me2NVD ) groups were also introduced at the 4’-position of the VD framework to vary the polymerizability of VD . Anionic polymerization of VD by diphenylmethylpotassium (Ph 2 CHK) in THF at -78 to 0 °C gave a soluble poly( VD ) having a predicted molecular weight and a narrow molecular weight distribution ( M w / M n ~ 1.2). Similar to VD , ClVD , MeVD , and MeOVD underwent the anionic polymerization to give the soluble polymers with the well-defined chain structures ( M w / M n = 1.1–1.3). The 1 H and 13 C NMR measurements and MALDI-TOF-MS analysis revealed that a “self-alternating polymerization” of VD , ClVD , MeVD , and MeOVD yielded a linear homopolymer with an (AB) n -type alternating sequence through the intermolecular cross-propagation chain-growth mechanism. In particular, the resulting poly( ClVD ) exhibited only an odd-numbered degree of polymerization, indicating a mechanism of exclusive initiation and subsequent self-alternating polymerization of the VD derivative. In contrast, Me2NVD underwent the usual chemoselective polymerization in the St framework to yield an (A) n -type sequence, because the electrophilicity of the DPE framework of Me2NVD was highly reduced. Thus, the electronic effect of the substituents determines the polymerization behavior of a series of VD derivatives."
